,서울시 기준일,서울시 추가 확진
0,2021.03.28.00,138
1,2021.03.29.00,107
2,2021.03.30.00,145
3,2021.03.31.00,158
4,2021.04.01.00,199
5,2021.04.02.00,167
6,2021.04.03.00,155
7,2021.04.04.00,149
8,2021.04.05.00,152
9,2021.04.06.00,147
10,2021.04.07.00,198
11,2021.04.08.00,244
12,2021.04.09.00,215
13,2021.04.10.00,201
14,2021.04.11.00,214
15,2021.04.12.00,162
16,2021.04.13.00,158
17,2021.04.14.00,247
18,2021.04.15.00,217
19,2021.04.16.00,216
20,2021.04.17.00,217
21,2021.04.18.00,205
22,2021.04.19.00,137
23,2021.04.20.00,148
24,2021.04.21.00,218
25,2021.04.22.00,230
26,2021.04.23.00,204
27,2021.04.24.00,253
28,2021.04.25.00,175
29,2021.04.26.00,154
30,2021.04.27.00,116
31,2021.04.28.00,259
32,2021.04.29.00,227
33,2021.04.30.00,227
34,2021.05.01.00,195
35,2021.05.02.00,182
36,2021.05.03.00,127
37,2021.05.04.00,184
38,2021.05.05.00,238
39,2021.05.06.00,212
40,2021.05.07.00,179
41,2021.05.08.00,242
42,2021.05.09.00,195
43,2021.05.10.00,141
44,2021.05.11.00,163
45,2021.05.12.00,223
46,2021.05.12.00,223
47,2021.05.13.00,227
48,2021.05.14.00,231
49,2021.05.15.00,254
50,2021.05.16.00,213
51,2021.05.17.00,195
52,2021.05.18.00,172
53,2021.05.19.00,249
54,2021.05.20.00,242
55,2021.05.21.00,172
56,2021.05.22.00,208
57,2021.05.23.00,181
58,2021.05.24.00,139
59,2021.05.25.00,138
60,2021.05.26.00,262
61,2021.05.27.00,218
62,2021.05.28.00,214
63,2021.05.29.00,194
64,2021.05.30.00,160
65,2021.05.31.00,130
66,2021.06.01.00,147
67,2021.06.02.00,258
68,2021.06.03.00,215
69,2021.06.04.00,206
70,2021.06.05.00,277
71,2021.06.06.00,179
72,2021.06.07.00,159
73,2021.06.08.00,139
74,2021.06.09.00,183
75,2021.06.10.00,213
76,2021.06.11.00,204
77,2021.06.12.00,208
78,2021.06.13.00,176
79,2021.06.14.00,122
80,2021.06.15.00,132
81,2021.06.16.00,201
82,2021.06.17.00,201
83,2021.06.18.00,200
84,2021.06.19.00,197
85,2021.06.20.00,165
86,2021.06.21.00,134
87,2021.06.22.00,132
88,2021.06.23.00,236
89,2021.06.24.00,252
90,2021.06.25.00,269
91,2021.06.26.00,263
92,2021.06.27.00,242
93,2021.06.28.00,185
94,2021.06.29.00,205
95,2021.06.30.00,375
96,2021.07.01.00,334
97,2021.07.02.00,347
98,2021.07.03.00,359
99,2021.07.04.00,289
100,2021.07.05.00,307
101,2021.07.06.00,320
102,2021.07.07.00,583
103,2021.07.08.00,550
104,2021.07.09.00,503
105,2021.07.10.00,509
106,2021.07.11.00,509
107,2021.07.12.00,403
108,2021.07.13.00,417
109,2021.07.14.00,638
110,2021.07.15.00,520
111,2021.07.16.00,570
112,2021.07.17.00,562
113,2021.07.18.00,523
114,2021.07.19.00,419
115,2021.07.20.00,394
116,2021.07.21.00,604
117,2021.07.22.00,499
118,2021.07.23.00,520
119,2021.07.24.00,465
120,2021.07.25.00,489
121,2021.07.26.00,341
122,2021.07.27.00,351
123,2021.07.28.00,573
124,2021.07.29.00,515
125,2021.07.30.00,488
126,2021.07.31.00,476
127,2021.08.01.00,473
128,2021.08.02.00,365
129,2021.08.03.00,311
130,2021.08.04.00,486
131,2021.08.05.00,466
132,2021.08.06.00,464
133,2021.08.07.00,503
134,2021.08.08.00,450
135,2021.08.09.00,415
136,2021.08.10.00,360
137,2021.08.11.00,661
138,2021.08.12.00,526
139,2021.08.13.00,524
140,2021.08.14.00,515
141,2021.08.15.00,488
142,2021.08.16.00,364
143,2021.08.17.00,366
144,2021.08.18.00,510
145,2021.08.19.00,575
146,2021.08.20.00,556
147,2021.08.21.00,526
148,2021.08.22.00,499
149,2021.08.23.00,388
150,2021.08.24.00,438
151,2021.08.25.00,677
152,2021.08.26.00,570
153,2021.08.27.00,557
154,2021.08.28.00,569
155,2021.08.29.00,517
156,2021.08.30.00,444
157,2021.08.31.00,456
158,2021.09.01.00,665
159,2021.09.02.00,559
160,2021.09.03.00,542
161,2021.09.04.00,566
162,2021.09.05.00,508
163,2021.09.06.00,464
164,2021.09.07.00,482
165,2021.09.08.00,671
166,2021.09.09.00,667
167,2021.09.10.00,670
168,2021.09.11.00,659
169,2021.09.12.00,658
170,2021.09.13.00,556
171,2021.09.14.00,539
172,2021.09.15.00,808
173,2021.09.16.00,719
174,2021.09.17.00,746
175,2021.09.18.00,703
176,2021.09.19.00,742
177,2021.09.20.00,583
178,2021.09.21.00,676
179,2021.09.22.00,644
180,2021.09.23.00,645
181,2021.09.24.00,907
182,2021.09.25.00,1222
